Channel_ID,Channel_Name,YouTube_Video_ID,Video_URL,Video_Title,PublishedAt,DurationSeconds,Provider,Failure_Reason,Suggested_FileName,Manual_Action
C01,The DFIR Report,OfwHWjZvvuE,https://www.youtube.com/watch?v=OfwHWjZvvuE,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,2025-09-08T14:38:04Z,382,local_asr_whisper,local_asr_whisper::no_local_audio,OfwHWjZvvuE.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,5fu-wYbBvuY,https://www.youtube.com/watch?v=5fu-wYbBvuY,Hide Your RDP: Password Spray Leads to RansomHub Deployment,2025-06-30T00:52:31Z,343,local_asr_whisper,local_asr_whisper::no_local_audio,5fu-wYbBvuY.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,7HD-RYqIm3Q,https://www.youtube.com/watch?v=7HD-RYqIm3Q,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,2025-05-19T00:46:35Z,365,local_asr_whisper,local_asr_whisper::no_local_audio,7HD-RYqIm3Q.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,hpgjomPwHp4,https://www.youtube.com/watch?v=hpgjomPwHp4,Fake Zoom Ends in BlackSuit Ransomware,2025-03-31T00:30:19Z,371,local_asr_whisper,local_asr_whisper::no_local_audio,hpgjomPwHp4.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,BMTtJLEJRGQ,https://www.youtube.com/watch?v=BMTtJLEJRGQ,Confluence Exploit Leads to LockBit Ransomware,2025-02-24T00:33:55Z,341,local_asr_whisper,local_asr_whisper::no_local_audio,BMTtJLEJRGQ.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,Fh_OcBYjzL8,https://www.youtube.com/watch?v=Fh_OcBYjzL8,DFIR Discussions: The Curious Case of an Egg-Cellent Resume,2025-01-20T00:52:28Z,2392,local_asr_whisper,local_asr_whisper::no_local_audio,Fh_OcBYjzL8.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,CQ0zOWnHfHE,https://www.youtube.com/watch?v=CQ0zOWnHfHE,The Curious Case of an Egg-Cellent Resume,2024-12-02T02:14:13Z,431,local_asr_whisper,local_asr_whisper::no_local_audio,CQ0zOWnHfHE.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,7AhSj5GGVRw,https://www.youtube.com/watch?v=7AhSj5GGVRw,Nitrogen Campaign Drops Sliver and Ends With BlackCat Ransomware,2024-09-30T01:00:24Z,406,local_asr_whisper,local_asr_whisper::no_local_audio,7AhSj5GGVRw.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,t2sxRDE0Pr4,https://www.youtube.com/watch?v=t2sxRDE0Pr4,BlackSuit Ransomware,2024-08-26T00:41:51Z,316,local_asr_whisper,local_asr_whisper::no_local_audio,t2sxRDE0Pr4.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C01,The DFIR Report,wyg-YtiUFUo,https://www.youtube.com/watch?v=wyg-YtiUFUo,"Threat Actors' Toolkit: Leveraging Sliver, PoshC2 & Batch Scripts",2024-08-12T02:12:35Z,346,local_asr_whisper,local_asr_whisper::no_local_audio,wyg-YtiUFUo.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,1Cr9cUdsGnM,https://www.youtube.com/watch?v=1Cr9cUdsGnM,Stay Ahead of Ransomware - The AI Arms Race: When Both Sides Have Copilots,2026-02-04T07:08:01Z,3616,local_asr_whisper,local_asr_whisper::no_local_audio,1Cr9cUdsGnM.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,g2fxSyoohZo,https://www.youtube.com/watch?v=g2fxSyoohZo,AI-Powered Ransomware: How Threat Actors Weaponize AI Across the Attack Lifecycle,2026-01-07T07:07:29Z,3575,local_asr_whisper,local_asr_whisper::no_local_audio,g2fxSyoohZo.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,p0CpWxfQAjI,https://www.youtube.com/watch?v=p0CpWxfQAjI,Extracting the unseen: Real-world RAM acquisition and analysis from Android devices,2025-12-16T20:17:47Z,1879,local_asr_whisper,local_asr_whisper::no_local_audio,p0CpWxfQAjI.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,AG4HPlgotco,https://www.youtube.com/watch?v=AG4HPlgotco,"Digital forensics and security: Automate audits, investigations and response with AWX and Ansible",2025-12-11T16:14:16Z,1897,local_asr_whisper,local_asr_whisper::no_local_audio,AG4HPlgotco.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,1ozfZ0CEZbo,https://www.youtube.com/watch?v=1ozfZ0CEZbo,Tool: Forensic WACE - A multi-threaded tool for  forensic analysis of What’s App chats,2025-12-11T15:49:07Z,853,local_asr_whisper,local_asr_whisper::no_local_audio,1ozfZ0CEZbo.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,p3SEEdV425I,https://www.youtube.com/watch?v=p3SEEdV425I,When the threat group doesn’t leave: Incident response under fire,2025-12-10T18:57:09Z,1789,local_asr_whisper,local_asr_whisper::no_local_audio,p3SEEdV425I.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,a-_di0nfOL8,https://www.youtube.com/watch?v=a-_di0nfOL8,Mobile device hardening: A forensic comparison of advanced protection programmes in IOS and Android,2025-12-10T18:35:53Z,1681,local_asr_whisper,local_asr_whisper::no_local_audio,a-_di0nfOL8.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,8GE-fIw7sb8,https://www.youtube.com/watch?v=8GE-fIw7sb8,Tool: Location log analysis of Google Maps IOS,2025-12-10T18:33:15Z,854,local_asr_whisper,local_asr_whisper::no_local_audio,8GE-fIw7sb8.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,ELcsKcR_seo,https://www.youtube.com/watch?v=ELcsKcR_seo,PDF forensics and authenticity detection,2025-12-10T18:32:19Z,1730,local_asr_whisper,local_asr_whisper::no_local_audio,ELcsKcR_seo.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C02,SANS Digital Forensics and Incident Response,V6VnQ-h4K-o,https://www.youtube.com/watch?v=V6VnQ-h4K-o,MacOS telemetry vs EDR telemetry - Which is better?,2025-12-10T18:23:26Z,1845,local_asr_whisper,local_asr_whisper::no_local_audio,V6VnQ-h4K-o.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C03,Black Hat,om5x9aFrnLE,https://www.youtube.com/watch?v=om5x9aFrnLE,Black Hat USA 2025 | Enhancing Command Line Classification with Benign Anomalous Data,2026-02-25T01:14:29Z,2178,local_asr_whisper,local_asr_whisper::no_local_audio,om5x9aFrnLE.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C03,Black Hat,3CV1efZSHmQ,https://www.youtube.com/watch?v=3CV1efZSHmQ,Black Hat USA 2025 | FACADE: High-Precision Insider Threat Detection Using Contrastive Learning,2026-02-24T21:02:01Z,2283,local_asr_whisper,local_asr_whisper::no_local_audio,3CV1efZSHmQ.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C03,Black Hat,5RH0StmV7Eo,https://www.youtube.com/watch?v=5RH0StmV7Eo,Black Hat USA 2025 | Breaking Out of The AI Cage: Pwning AI Providers with NVIDIA Vulnerabilities,2026-02-23T19:00:04Z,2181,local_asr_whisper,local_asr_whisper::no_local_audio,5RH0StmV7Eo.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C03,Black Hat,9EA7kz4bGvQ,https://www.youtube.com/watch?v=9EA7kz4bGvQ,Black Hat USA 2025 | Autonomous Timeline Analysis and Threat Hunting: An AI Agent for Timesketch,2026-02-23T16:00:13Z,2221,local_asr_whisper,local_asr_whisper::no_local_audio,9EA7kz4bGvQ.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C03,Black Hat,M_BDq2hTJxU,https://www.youtube.com/watch?v=M_BDq2hTJxU,Black Hat USA 2025 | AI Enterprise Compromise - 0click Exploit Methods,2026-02-22T19:00:15Z,2425,local_asr_whisper,local_asr_whisper::no_local_audio,M_BDq2hTJxU.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C03,Black Hat,KC-8DhS8x5Q,https://www.youtube.com/watch?v=KC-8DhS8x5Q,Black Hat USA 2025 | Vaulted Severance: Your Secrets Are Now Outies,2026-02-22T15:00:29Z,1787,local_asr_whisper,local_asr_whisper::no_local_audio,KC-8DhS8x5Q.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C03,Black Hat,e69OE0ZjskA,https://www.youtube.com/watch?v=e69OE0ZjskA,Black Hat USA 2025 | A Fireside Chat with Cognitive Scientist and AI Expert Gary Marcus,2026-02-21T18:30:55Z,2318,local_asr_whisper,local_asr_whisper::no_local_audio,e69OE0ZjskA.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
C03,Black Hat,8V4i8TW1YXU,https://www.youtube.com/watch?v=8V4i8TW1YXU,Black Hat USA 2025 | Hacking the Status Quo: Tales From Leading Women in Cybersecurity,2026-02-21T15:30:04Z,2423,local_asr_whisper,local_asr_whisper::no_local_audio,8V4i8TW1YXU.txt,Open video → ⋯ → Show transcript → copy/paste into .txt
