Run_TS,Channel_ID,Channel_Name,Channel_URL,Channel_UC,YouTube_Video_ID,Video_Title,PublishedAt,DurationSeconds,KeywordMatch,Selected,Stage,Outcome,Failure_Reason,HTTP_Status,Retry_Count,Provider,Transcript_Available,Output_File,Failure_Stage
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,exgBJxpN9sE,DFIR Labs: Pro Tier Subscription Introduction,2025-07-23T18:06:19Z,95,False,False,filter,skip,duration_below_min:300,,0,,False,,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,6kEqTgREIYo,The Post-Exploit Phase Was 🔥,2025-06-12T14:02:02Z,27,False,False,filter,skip,duration_below_min:300,,0,,False,,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,umzS6Cga8TU,Navigating Through The Fog,2025-04-28T01:16:19Z,223,False,False,filter,skip,duration_below_min:300,,0,,False,,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,irDS58Gpz5k,CTF Event Day Walkthrough: Everything You Need to Know,2025-01-16T19:01:54Z,135,False,False,filter,skip,duration_below_min:300,,0,,False,,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,mF7R9eU-udU,Inside the Open Directory of the “You Dun” Threat Group,2024-10-28T01:18:03Z,258,False,False,filter,skip,duration_below_min:300,,0,,False,,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,l8sdyPZwOrI,DFIR Labs CTFs,2024-08-19T23:24:20Z,67,False,False,filter,skip,duration_below_min:300,,0,,False,,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,OviLa-jW6CQ,DFIR Labs,2024-04-05T20:46:11Z,139,False,False,filter,skip,duration_below_min:300,,0,,False,,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,OfwHWjZvvuE,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,2025-09-08T14:38:04Z,382,True,True,transcript,fail,local_asr_whisper::no_local_audio,,0,local_asr_whisper,False,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0001.txt,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,5fu-wYbBvuY,Hide Your RDP: Password Spray Leads to RansomHub Deployment,2025-06-30T00:52:31Z,343,True,True,transcript,fail,local_asr_whisper::no_local_audio,,0,local_asr_whisper,False,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0002.txt,
20260225_150635,C01,The DFIR Report,https://www.youtube.com/@TheDFIRReport,UC6R2MPMkkCqFxvAdQAI_23A,7HD-RYqIm3Q,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,2025-05-19T00:46:35Z,365,True,True,transcript,fail,local_asr_whisper::no_local_audio,,0,local_asr_whisper,False,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0003.txt,
